Strain,Phage,day,temperature,ph,inoculum,milk_batch,(milk_batch-21),milk_age ,milk_apc,cheese_make,cheese_plate,rep,count,experiment
5624,N,7,6,6,1.41E+05,7/3/17,6/12/17,8,10.2,6/20/17,c,1,12800000,2.1
5625,N,7,6,6,0.00E+00,7/3/17,6/12/17,8,10.2,6/20/17,c,1,18800000,2.1
10403S,Y,7,6,6,1.58E+05,7/3/17,6/12/17,8,10.2,6/20/17,d,1,347500,2.1
5621,Y,7,6,6,0.00E+00,7/3/17,6/12/17,8,10.2,6/20/17,d,1,369000,2.1
5623,Y,7,6,6,0.00E+00,7/3/17,6/12/17,8,10.2,6/20/17,d,1,5845000,2.1
5624,Y,7,6,6,1.21E+05,7/3/17,6/12/17,8,10.2,6/20/17,d,1,868000,2.1
5625,Y,7,6,6,0.00E+00,7/3/17,6/12/17,8,10.2,6/20/17,d,1,11050000,2.1
10403S,N,14,6,6,1.61E+05,7/3/17,6/12/17,8,10.2,6/20/17,e,1,6700000,2.1
5621,N,14,6,6,0.00E+00,7/3/17,6/12/17,8,10.2,6/20/17,e,1,18600000,2.1
5623,N,14,6,6,0.00E+00,7/3/17,6/12/17,8,10.2,6/20/17,e,1,23900000,2.1
5624,N,14,6,6,1.32E+05,7/3/17,6/12/17,8,10.2,6/20/17,e,1,77850000,2.1
5625,N,14,6,6,0.00E+00,7/3/17,6/12/17,8,10.2,6/20/17,e,1,89550000,2.1
10403S,Y,14,6,6,1.84E+05,7/3/17,6/12/17,8,10.2,6/20/17,f,1,2965000,2.1
5621,Y,14,6,6,0.00E+00,7/3/17,6/12/17,8,10.2,6/20/17,f,1,3435000,2.1
5623,Y,14,6,6,0.00E+00,7/3/17,6/12/17,8,10.2,6/20/17,f,1,19500000,2.1
5624,Y,14,6,6,1.54E+05,7/3/17,6/12/17,8,10.2,6/20/17,f,1,4425000,2.1
5625,Y,14,6,6,0.00E+00,7/3/17,6/12/17,8,10.2,6/20/17,f,1,25700000,2.1
10403S,N,1,6,6,1.60E+05,7/17/17,6/26/17,9,399,7/5/17,a,2,465000,2.2
5621,N,1,6,6,1.14E+05,7/17/17,6/26/17,9,399,7/5/17,a,2,920000,2.2
5623,N,1,6,6,2.05E+05,7/17/17,6/26/17,9,399,7/5/17,a,2,843500,2.2
5624,N,1,6,6,1.95E+05,7/17/17,6/26/17,9,399,7/5/17,a,2,809500,2.2
5625,N,1,6,6,9.80E+03,7/17/17,6/26/17,9,399,7/5/17,a,2,856000,2.2
10403S,Y,1,6,6,1.44E+05,7/17/17,6/26/17,9,399,7/5/17,b,2,79700,2.2
5621,Y,1,6,6,1.05E+05,7/17/17,6/26/17,9,399,7/5/17,b,2,36000,2.2
5623,Y,1,6,6,1.97E+05,7/17/17,6/26/17,9,399,7/5/17,b,2,550500,2.2
5624,Y,1,6,6,1.86E+05,7/17/17,6/26/17,9,399,7/5/17,b,2,82800,2.2
5625,Y,1,6,6,8.58E+03,7/17/17,6/26/17,9,399,7/5/17,b,2,360000,2.2
10403S,N,7,6,6,1.44E+05,7/17/17,6/26/17,9,399,7/5/17,c,2,5815000,2.2
5621,N,7,6,6,1.03E+05,7/17/17,6/26/17,9,399,7/5/17,c,2,40050000,2.2
5623,N,7,6,6,2.05E+05,7/17/17,6/26/17,9,399,7/5/17,c,2,34650000,2.2
5624,N,7,6,6,1.83E+05,7/17/17,6/26/17,9,399,7/5/17,c,2,45150000,2.2
5625,N,7,6,6,8.51E+03,7/17/17,6/26/17,9,399,7/5/17,c,2,50100000,2.2
10403S,Y,7,6,6,1.50E+05,7/17/17,6/26/17,9,399,7/5/17,d,2,673500,2.2
5621,Y,7,6,6,1.06E+05,7/17/17,6/26/17,9,399,7/5/17,d,2,608000,2.2
5623,Y,7,6,6,2.08E+05,7/17/17,6/26/17,9,399,7/5/17,d,2,21750000,2.2
5624,Y,7,6,6,1.93E+05,7/17/17,6/26/17,9,399,7/5/17,d,2,612000,2.2
5625,Y,7,6,6,9.33E+03,7/17/17,6/26/17,9,399,7/5/17,d,2,15350000,2.2
